seed,method,cycle,training_vms,feedback_vms_remaining,accuracy_pct,precision_pct,recall_pct,f1_pct,mean_confidence_pct
2,confidence,0,679,291,95.47325102880659,94.89795918367348,93.93939393939394,94.41624365482234,92.83676268861456
2,confidence,1,699,271,97.11934156378601,97.91666666666666,94.94949494949495,96.41025641025641,93.04115226337449
2,confidence,2,719,251,98.76543209876543,100.0,96.96969696969697,98.46153846153847,93.3031550068587
2,confidence,3,739,231,98.35390946502058,100.0,95.95959595959596,97.9381443298969,93.54046639231824
2,confidence,4,759,211,98.76543209876543,100.0,96.96969696969697,98.46153846153847,93.8888888888889
2,confidence,5,779,191,98.76543209876543,100.0,96.96969696969697,98.46153846153847,94.10150891632374
2,random,0,679,291,95.47325102880659,94.89795918367348,93.93939393939394,94.41624365482234,92.83676268861456
2,random,1,699,271,95.88477366255144,94.94949494949495,94.94949494949495,94.94949494949495,92.74897119341564
2,random,2,719,251,95.88477366255144,95.87628865979381,93.93939393939394,94.89795918367348,92.89849108367628
2,random,3,739,231,96.29629629629629,96.875,93.93939393939394,95.38461538461539,93.04526748971195
2,random,4,759,211,96.29629629629629,96.875,93.93939393939394,95.38461538461539,93.1906721536351
2,random,5,779,191,95.88477366255144,95.87628865979381,93.93939393939394,94.89795918367348,93.39917695473251
3,confidence,0,679,291,96.29629629629629,95.91836734693877,94.94949494949495,95.43147208121827,92.40877914951989
3,confidence,1,699,271,98.35390946502058,97.97979797979798,97.97979797979798,97.97979797979798,92.51165980795611
3,confidence,2,719,251,99.58847736625515,99.0,100.0,99.49748743718592,93.1042524005487
3,confidence,3,739,231,99.58847736625515,99.0,100.0,99.49748743718592,93.2798353909465
3,confidence,4,759,211,99.1769547325103,98.98989898989899,98.98989898989899,98.98989898989899,93.31412894375856
3,confidence,5,779,191,99.1769547325103,98.98989898989899,98.98989898989899,98.98989898989899,93.28395061728395
3,random,0,679,291,96.29629629629629,95.91836734693877,94.94949494949495,95.43147208121827,92.40877914951989
3,random,1,699,271,96.29629629629629,95.91836734693877,94.94949494949495,95.43147208121827,92.35528120713306
3,random,2,719,251,96.70781893004116,96.90721649484536,94.94949494949495,95.91836734693877,92.29903978052127
3,random,3,739,231,96.70781893004116,96.90721649484536,94.94949494949495,95.91836734693877,92.36213991769547
3,random,4,759,211,97.11934156378601,96.93877551020408,95.95959595959596,96.44670050761421,92.19753086419753
